run_id,sample_ID,year,month,day,sample_type,location,site,site_type,replicate,barcode,protocol
S_78,C210603RFAMC,2021,6,3,tank,,reef tank,,A,MiFish,Cal eDNA
S_87,C210603RFAMS,2021,6,3,tank,,reef tank,,A,MiFish,SuperFi
S_79,C210603RFBMC,2021,6,3,tank,,reef tank,,B,MiFish,Cal eDNA
S_88,C210603RFBMS,2021,6,3,tank,,reef tank,,B,MiFish,SuperFi
S_80,C210603RFCMC,2021,6,3,tank,,reef tank,,C,MiFish,Cal eDNA
S_89,C210603RFCMS,2021,6,3,tank,,reef tank,,C,MiFish,SuperFi
S_81,C210603RFDMC,2021,6,3,tank,,reef tank,,D,MiFish,Cal eDNA
S_90,C210603RFDMS,2021,6,3,tank,,reef tank,,D,MiFish,SuperFi
S_74,C210603TDAMC,2021,6,3,tank,,tidepool tank,,A,MiFish,Cal eDNA
S_83,C210603TDAMS,2021,6,3,tank,,tidepool tank,,A,MiFish,SuperFi
S_75,C210603TDBMC,2021,6,3,tank,,tidepool tank,,B,MiFish,Cal eDNA
S_84,C210603TDBMS,2021,6,3,tank,,tidepool tank,,B,MiFish,SuperFi
S_76,C210603TDCMC,2021,6,3,tank,,tidepool tank,,C,MiFish,Cal eDNA
S_85,C210603TDCMS,2021,6,3,tank,,tidepool tank,,C,MiFish,SuperFi
S_77,C210603TDDMC,2021,6,3,tank,,tidepool tank,,D,MiFish,Cal eDNA
S_86,C210603TDDMS,2021,6,3,tank,,tidepool tank,,D,MiFish,SuperFi
S_82,C21PCRNC1MC,2021,,,negative control,,pcr,,,MiFish,Cal eDNA
S_91,C21PCRNC1MS,2021,,,negative control,,pcr,,,MiFish,SuperFi